date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:42	50615/50615	---MCZ	200	added ('OK')	text/html	etag:%22a9c2bbcd70df7cbcfce9d66f707f0daf%22	https://wascade.ma/services/desinsectisation	C:/My%20Web%20Sites/wascade/wascade.ma/services/desinsectisation.html	(from https://wascade.ma/)
23:13:43	48974/48974	---MCZ	200	added ('OK')	text/html	etag:%220a5575b45a3e5777aadd45d11db15f5b%22	https://wascade.ma/services/desinfection	C:/My%20Web%20Sites/wascade/wascade.ma/services/desinfection.html	(from https://wascade.ma/)
23:13:43	48439/48439	---MCZ	200	added ('OK')	text/html	etag:%2268415e4dbca30faed39c93c37151181d%22	https://wascade.ma/services/capture-des-chats-errants	C:/My%20Web%20Sites/wascade/wascade.ma/services/capture-des-chats-errants.html	(from https://wascade.ma/)
23:13:43	47168/47168	---MCZ	200	added ('OK')	text/html	etag:%220f144debf45fdcb54de86ec8179c8408%22	https://wascade.ma/services/capture-des-chiens-errants	C:/My%20Web%20Sites/wascade/wascade.ma/services/capture-des-chiens-errants.html	(from https://wascade.ma/)
23:13:44	47284/47284	---MCZ	200	added ('OK')	text/html	etag:%2234368eaafe29653773bf354f0ae0d114%22	https://wascade.ma/services/depigeonnisation	C:/My%20Web%20Sites/wascade/wascade.ma/services/depigeonnisation.html	(from https://wascade.ma/)
23:13:45	73/73	---M--	200	added ('OK')	image/png	etag:%2249-56851da8f0900%22	https://wascade.ma/wp-content/plugins/revslider/admin/assets/images/dummy.png	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/plugins/revslider/admin/assets/images/dummy.png	(from https://wascade.ma/)
23:13:45	52504/52504	---M-Z	200	added ('OK')	text/html	etag:%22232c-5850ea6e767f0%22	https://wascade.ma/nos-produits/	C:/My%20Web%20Sites/wascade/wascade.ma/nos-produits/index.html	(from https://wascade.ma/)
23:13:46	28285/28285	---M-Z	200	added ('OK')	text/html	etag:%221e34-585104ef0d4aa%22	https://wascade.ma/contact/	C:/My%20Web%20Sites/wascade/wascade.ma/contact/index.html	(from https://wascade.ma/)
23:13:46	50218/50218	---MCZ	200	added ('OK')	text/html	etag:%2282dc619c71d3711dae09b7389bfef64d%22	https://wascade.ma/a-propos	C:/My%20Web%20Sites/wascade/wascade.ma/a-propos.html	(from https://wascade.ma/)
23:13:47	48974/48974	---M-Z	200	added ('OK')	text/html	etag:%222812-596eff007724d%22	https://wascade.ma/services/desinfection/	C:/My%20Web%20Sites/wascade/wascade.ma/services/desinfection/index.html	(from https://wascade.ma/)
23:13:48	48215/48215	---M-Z	200	added ('OK')	text/html	etag:%2226ee-596e4ec445bb8%22	https://wascade.ma/services/deratisation/	C:/My%20Web%20Sites/wascade/wascade.ma/services/deratisation/index.html	(from https://wascade.ma/)
23:13:49	28285/28285	---MCZ	200	added ('OK')	text/html	etag:%2280666bd908b8e28ed40efda4525f986c%22	https://wascade.ma/contact	C:/My%20Web%20Sites/wascade/wascade.ma/contact.html	(from https://wascade.ma/)
23:13:49	18430/18430	---M--	200	added ('OK')	image/jpeg	etag:%2247fe-568586df903c0%22	https://wascade.ma/wp-content/uploads/2018/03/modern-business-skyscrapers-seen-from-the-window_1204-392-350x250.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/modern-business-skyscrapers-seen-from-the-window_1204-392-350x250.jpg	(from https://wascade.ma/)
23:13:50	15109/15109	---M--	200	added ('OK')	image/jpeg	etag:%223b05-568586dbbfac0%22	https://wascade.ma/wp-content/uploads/2018/03/handshake-close-up-of-executives_1098-1384-350x250.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/handshake-close-up-of-executives_1098-1384-350x250.jpg	(from https://wascade.ma/)
23:13:50	10620/10620	---M--	200	added ('OK')	image/jpeg	etag:%22297c-568586c9a1000%22	https://wascade.ma/wp-content/uploads/2018/03/smiling-man-gesturing-thumb-up_23-2147710923-350x250.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/smiling-man-gesturing-thumb-up_23-2147710923-350x250.jpg	(from https://wascade.ma/)
23:13:51	7488/7488	---M--	200	added ('OK')	image/jpeg	etag:%221d40-569eaa6aa5dc0%22	https://wascade.ma/wp-content/uploads/2018/03/IMG-20180319-WA0022-1-255x182.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/IMG-20180319-WA0022-1-255x182.jpg	(from https://wascade.ma/)
23:13:55	50606/50606	---M-Z	200	added ('OK')	text/html	etag:%222a50-596ecd19f8570%22	http://wascade.ma/services/desinsectisation/	C:/My%20Web%20Sites/wascade/wascade.ma/services/desinsectisation/index.html	(from https://wascade.ma/)
23:13:56	47277/47277	---M-Z	200	added ('OK')	text/html	etag:%22267d-58515c1a1be90%22	http://wascade.ma/services/depigeonnisation/	C:/My%20Web%20Sites/wascade/wascade.ma/services/depigeonnisation/index.html	(from https://wascade.ma/)
23:13:57	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Nov%202020%2022:13:51%20GMT	http://wascade.ma/services/capture-des-chats/	C:/My%20Web%20Sites/wascade/wascade.ma/services/capture-des-chats/index.html	(from https://wascade.ma/)
23:13:57	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Nov%202020%2022:13:51%20GMT	http://wascade.ma/services/capture-des-chiens/	C:/My%20Web%20Sites/wascade/wascade.ma/services/capture-des-chiens/index.html	(from https://wascade.ma/)
23:13:58	10321/10321	---M--	200	added ('OK')	image/jpeg	etag:%222851-5685846747000%22	https://wascade.ma/wp-content/uploads/2018/03/big02a-255x182.jpg	C:/My%20Web%20Sites/wascade/wascade.ma/wp-content/uploads/2018/03/big02a-255x182.jpg	(from https://wascade.ma/)
